description,type,protein_100g,carbs_100g,fat_100g
"beef, chuck eye roast, boneless, america's beef roast, separable lean only, trimmed to 0"" fat, select, raw",protein,20.5,0.0,5.71
"beef, ground, with egg and onion",protein,21.86,1.05,14.54
"beef, grass-fed, ground, raw",protein,19.4,0.0,12.7
"beef, ground, unspecified fat content, cooked",protein,25.1,0.62,14.5
"stewed, seasoned, ground beef and pork, mexican style",protein,16.7,1.45,6.98
"beef, ground, 85% lean meat / 15% fat, crumbles, cooked, pan-browned",protein,27.7,0.0,15.3
"hormel always tender, boneless pork loin, fresh pork",protein,19.0,0.76,7.18
"pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, raw",protein,21.3,0.0,8.33
"pork, fresh, loin, top loin (roasts), boneless, separable lean only, raw",protein,22.4,0.0,4.06
"pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, raw",protein,20.7,0.0,9.03
"pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw",protein,22.0,0.0,3.71
"pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",protein,21.6,0.0,6.94
"pork, fresh, loin, top loin (chops), boneless, separable lean only, raw",protein,22.4,0.0,3.42
"pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted",protein,26.4,0.0,8.82
"pork, fresh, loin, top loin (roasts), boneless, separable lean only, cooked, roasted",protein,27.2,0.0,6.28
"pork, fresh, loin, center loin (chops), boneless, separable lean and fat, raw",protein,21.1,0.0,13.0
"pork, fresh, loin, center loin (chops), boneless, separable lean only, raw",protein,23.8,0.0,3.09
"pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised",protein,28.2,0.0,13.5
"pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, braised",protein,30.2,0.0,7.86
"pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted",protein,27.0,0.0,12.8
"pork, fresh, loin, center loin (roasts), bone-in, separable lean only, cooked, roasted",protein,28.6,0.0,7.95
